id,title,dealer,refrence_id,carlength,carwidth,carheight,m3,serial_code,manufacturer_month,registration_year,Interior_color,exterior_color,mileage,engine_no,engine_size,fuel_type,chassis_no,transmission,drive,regular_price,price_yen,sale_price,steering,air_bags,dual_air_bags,air_conditioning,dual_air_conditioning,sun_roof,power_steering,power_window,power_mirror,central_locking,key_less_entry,leather_seats,gps,player,seats,doors,push_start,tv_navi,alloy_wheels,cruise_control,grill_guard,fog_lamps,hid,parking_sensor,rear_parking_camera,pas,power_slide_doors,full_aero_kits,wooden_steering,roof_rails,rear_spoiler,weight,ss,pc,carig_one,carig_two,created_at,updated_at
8186,2021 DAIHATSU ROCKY,Agasta K.K,45200613,3.99,1.69,1.62,10.92,OTOZ-8186,\N,\N,Black,Black,54885,\N,1000,Petrol,\N,AT,2wd,11010,1630000,11010.2,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:23:04,2025-03-09 01:03:55
8222,2020 SUBARU LEVORG,Agasta K.K,45100722,4.69,1.78,1.49,12.44,OTOZ-8222,\N,\N,Blue,Blue,33637,\N,2000,Petrol,\N,AT,2wd,15036,2370000,15036.5,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-20 01:07:59,2025-01-07 01:04:04
8223,2018 TOYOTA PASSO,Agasta K.K,45200307,3.65,1.66,1.52,9.21,OTOZ-8223,\N,\N,Blue,Blue,36188,\N,996,Petrol,\N,AT,2wd,5113,800000,5113.29,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-20 01:20:15,2024-12-21 01:20:02
8224,2019 TOYOTA SIENTA,Agasta K.K,45200309,4.26,1.69,1.67,12.02,OTOZ-8224,\N,\N,Yellow,Yellow,23685,\N,1500,Petrol,\N,AT,2wd,10964,1640000,10964.3,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-20 01:20:20,2025-03-04 01:02:50
8225,2013 TOYOTA CROWN,Agasta K.K,45200437,4.89,1.8,1.45,12.76,OTOZ-8225,\N,\N,Black,Black,122191,\N,2500,Petrol,\N,AT,2wd,9395,1470000,9395.97,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-20 01:21:49,2025-01-23 01:07:59
8226,2012 SUZUKI SWIFT (IGNIS),Agasta K.K,45200541,3.85,1.69,1.53,9.95,OTOZ-8226,\N,\N,Black,Black,156059,\N,1242,Petrol,\N,AT,2wd,2026,320000,2026.69,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-20 01:22:43,2024-12-27 01:24:22
8227,2023 NISSAN X-TRAIL,Agasta K.K,45200572,4.66,1.84,1.72,14.75,OTOZ-8227,\N,\N,Pearl,Pearl,10991,\N,1500,Petrol,\N,AT,2wd,25778,4050000,25778.9,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-20 01:22:52,2024-12-25 01:25:12
8228,2015 NISSAN DAYZ ROOX,Agasta K.K,45200591,3.39,1.47,1.77,8.82,OTOZ-8228,\N,\N,Silver,Silver,51257,\N,660,Petrol,\N,AT,2wd,3685,580000,3685.99,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-20 01:23:07,2025-01-06 01:14:11
8229,2021 TOYOTA ALPHARD HYBRID,Agasta K.K,45200597,4.95,1.85,1.95,17.86,OTOZ-8229,\N,\N,Black,Black,19497,\N,2493,Petrol,\N,AT,2wd,29800,4540000,29800.8,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-20 01:23:16,2025-02-16 01:04:51
8249,2017 TOYOTA SIENTA,Agasta K.K,45200397,4.23,1.69,1.67,11.94,OTOZ-8249,\N,\N,Pearl,Pearl,106379,\N,1500,Petrol,\N,AT,2wd,6327,990000,6327.9,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-21 01:21:43,2025-01-23 01:07:52
